Ù.Ø.Ø..Ø.Ù.Ø¹Ù.Ø.,Ø.Ù.Ø.Ø.Ù.Ø.,Ø.Ù.Ø.Ù.Ø.Ø.,Ø.Ù.Ù.Ø.Ù.Ù.Ø¹,X,Laghouat...3.,X.1,X.2,page,Groupe,Group,Tizi.Ouzou..15.,Skikda,X.21.,Mostaganem.27.,Illizi,X.33.,El.Oued...39.,Naama...45.
65-69 ans,NA,NA,NA,7689,NA,7017,14706,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70-74 ans,NA,NA,NA,5949,NA,5854,11803,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75-79 ans,NA,NA,NA,4455,NA,3790,8245,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80-84 ans,NA,NA,NA,2349,NA,1832,4181,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85 ans &  +,NA,NA,NA,1679,NA,1394,3073,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ND,NA,NA,NA,489,NA,688,1177,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Total,NA,NA,NA,417559,NA,402373,819932,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,NA,NA,NA,Ø§Ù„Ø°Ø¢ÙˆØ±,NA,Ø§Ù„Ø¥Ù†Ø§Ø«,Ø§Ù„Ù…Ø¬Ù…ÙˆØ¹,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Groupe,NA,NA,NA,,NA,,,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,NA,NA,NA,Masculin,NA,FÃ©minin,Total,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dâ€™Ã¢ge,NA,NA,NA,,NA,,,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0-4 Ans,NA,NA,NA,58420,NA,54954,113374,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5-9 ans,NA,NA,NA,49175,NA,46926,96101,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10-14 ans,NA,NA,NA,55151,NA,53279,108430,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15-19 ans,NA,NA,NA,61004,NA,58547,119551,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20-24 ans,NA,NA,NA,58986,NA,58195,117180,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25-29 ans,NA,NA,NA,49919,NA,48674,98593,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30-34 ans,NA,NA,NA,37614,NA,36628,74242,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35-39 ans,NA,NA,NA,29463,NA,28798,58261,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40-44 ans,NA,NA,NA,23504,NA,23358,46862,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45-49 ans,NA,NA,NA,21352,NA,21045,42397,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50-54ans,NA,NA,NA,16774,NA,16463,33237,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55-59 ans,NA,NA,NA,12716,NA,11958,24674,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60-64 ans,NA,NA,NA,7779,NA,7358,15137,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65-69 ans,NA,NA,NA,7301,NA,6866,14167,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70-74 ans,NA,NA,NA,6279,NA,5451,11730,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75-79 ans,NA,NA,NA,4687,NA,3881,8568,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80-84 ans,NA,NA,NA,2648,NA,1966,4614,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85 ans &  +,NA,NA,NA,1852,NA,1462,3313,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ND,NA,NA,NA,61,NA,98,159,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Total,NA,NA,NA,504684,NA,485907,990591,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,NA,NA,NA,Ø§Ù„Ø°Ø¢ÙˆØ±,NA,Ø§Ù„Ø¥Ù†Ø§Ø«,Ø§Ù„Ù…Ø¬Ù…ÙˆØ¹,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Groupe,NA,NA,NA,,NA,,,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,NA,NA,NA,Masculin,NA,FÃ©minin,Total,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dâ€™Ã¢ge,NA,NA,NA,,NA,,,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0-4 Ans,NA,NA,NA,35089,NA,33400,68490,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5-9 ans,NA,NA,NA,30540,NA,29392,59932,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0-14 ans,NA,NA,NA,32739,NA,31603,64342,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5-19 ans,NA,NA,NA,33786,NA,32526,66311,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0-24 ans,NA,NA,NA,31961,NA,31389,63350,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5-29 ans,NA,NA,NA,27085,NA,27196,54282,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0-34 ans,NA,NA,NA,19490,NA,19690,39181,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5-39 ans,NA,NA,NA,16357,NA,16814,33171,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0-44 ans,NA,NA,NA,13452,NA,13727,27179,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5-49 ans,NA,NA,NA,11945,NA,11877,23821,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50-54ans,NA,NA,NA,9234,NA,8238,17472,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5-59 ans,NA,NA,NA,6287,NA,5317,11604,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0-64 ans,NA,NA,NA,4387,NA,4111,8498,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5-69 ans,NA,NA,NA,3716,NA,3331,7047,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0-74 ans,NA,NA,NA,2906,NA,2411,5316,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5-79 ans,NA,NA,NA,2110,NA,1756,3866,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0-84 ans,NA,NA,NA,1063,NA,966,2030,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ans &  +,NA,NA,NA,812,NA,902,1714,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ND,NA,NA,NA,431,NA,521,953,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Total,NA,NA,NA,283389,NA,275169,558558,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,NA,NA,NA,Ø§Ù„Ø°Ø¢ÙˆØ±,NA,Ø§Ù„Ø¥Ù†Ø§Ø«,Ø§Ù„Ù…Ø¬Ù…ÙˆØ¹,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Groupe,NA,NA,NA,,NA,,,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,NA,NA,NA,Masculin,NA,FÃ©minin,Total,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dâ€™Ã¢ge,NA,NA,NA,,NA,,,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0-4 Ans,NA,NA,NA,72455,NA,69512,141966,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5-9 ans,NA,NA,NA,59498,NA,57547,117045,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10-14 ans,NA,NA,NA,64211,NA,62081,126292,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15-19 ans,NA,NA,NA,66506,NA,65372,131878,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20-24 ans,NA,NA,NA,72160,NA,73163,145323,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25-29 ans,NA,NA,NA,70391,NA,70800,141190,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30-34 ans,NA,NA,NA,62042,NA,62203,124245,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35-39 ans,NA,NA,NA,55000,NA,55137,110137,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40-44 ans,NA,NA,NA,49667,NA,50082,99749,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45-49 ans,NA,NA,NA,39798,NA,40200,79998,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50-54ans,NA,NA,NA,33154,NA,33092,66246,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55-59 ans,NA,NA,NA,26840,NA,25573,52413,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60-64 ans,NA,NA,NA,17251,NA,17832,35082,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65-69 ans,NA,NA,NA,14806,NA,14745,29552,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70-74 ans,NA,NA,NA,11187,NA,12288,23475,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75-79 ans,NA,NA,NA,7035,NA,8269,15304,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80-84 ans,NA,NA,NA,3230,NA,3974,7203,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85 ans &  +,NA,NA,NA,1987,NA,3232,5219,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ND,NA,NA,NA,1006,NA,754,1760,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Total,NA,NA,NA,728221,NA,725857,1454078,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,ÙØ¦Ø© Ø§Ù„Ø¹Ù…Ø±,NA,,NA,6,NA,NA,NA,NA,NA,NA,,,NA,NA
NA,NA,NA,NA,,NA,Ø§Ù„Ù…Ø¬Ù…ÙˆØ¹,NA,6,NA,NA,NA,NA,NA,NA,Ø§Ù„Ø°Ø¢ÙˆØ±,Ø§Ù„Ø¥Ù†Ø§Ø«,NA,NA
NA,NA,NA,NA,Groupe,NA,,NA,6,NA,NA,NA,NA,NA,NA,,,NA,NA
NA,NA,NA,NA,,NA,Total,NA,6,NA,NA,NA,NA,NA,NA,Masculin,FÃ©minin,NA,NA
NA,NA,NA,NA,dâ€™Ã¢ge,NA,,NA,6,NA,NA,NA,NA,NA,NA,,,NA,NA
NA,NA,NA,NA,0-4 Ans,NA,7563,NA,6,NA,NA,NA,NA,NA,NA,3929,3634,NA,NA
NA,NA,NA,NA,5-9 ans,NA,6176,NA,6,NA,NA,NA,NA,NA,NA,3179,2997,NA,NA
NA,NA,NA,NA,10-14 ans,NA,5456,NA,6,NA,NA,NA,NA,NA,NA,2786,2670,NA,NA
NA,NA,NA,NA,15-19 ans,NA,5340,NA,6,NA,NA,NA,NA,NA,NA,2885,2455,NA,NA
NA,NA,NA,NA,20-24 ans,NA,5434,NA,6,NA,NA,NA,NA,NA,NA,2878,2556,NA,NA
NA,NA,NA,NA,25-29 ans,NA,5350,NA,6,NA,NA,NA,NA,NA,NA,2860,2490,NA,NA
NA,NA,NA,NA,30-34 ans,NA,4290,NA,6,NA,NA,NA,NA,NA,NA,2261,2030,NA,NA
NA,NA,NA,NA,35-39 ans,NA,3478,NA,6,NA,NA,NA,NA,NA,NA,2021,1456,NA,NA
NA,NA,NA,NA,40-44 ans,NA,2722,NA,6,NA,NA,NA,NA,NA,NA,1609,1114,NA,NA
NA,NA,NA,NA,45-49 ans,NA,2083,NA,6,NA,NA,NA,NA,NA,NA,1223,860,NA,NA
NA,NA,NA,NA,50-54ans,NA,1316,NA,6,NA,NA,NA,NA,NA,NA,761,555,NA,NA
NA,NA,NA,NA,55-59 ans,NA,893,NA,6,NA,NA,NA,NA,NA,NA,507,385,NA,NA
NA,NA,NA,NA,60-64 ans,NA,677,NA,6,NA,NA,NA,NA,NA,NA,395,282,NA,NA
NA,NA,NA,NA,65-69 ans,NA,548,NA,6,NA,NA,NA,NA,NA,NA,336,212,NA,NA
NA,NA,NA,NA,70-74 ans,NA,358,NA,6,NA,NA,NA,NA,NA,NA,227,132,NA,NA
NA,NA,NA,NA,75-79 ans,NA,253,NA,6,NA,NA,NA,NA,NA,NA,160,93,NA,NA
NA,NA,NA,NA,80-84 ans,NA,135,NA,6,NA,NA,NA,NA,NA,NA,80,55,NA,NA
NA,NA,NA,NA,85 ans &  +,NA,115,NA,6,NA,NA,NA,NA,NA,NA,60,55,NA,NA
NA,NA,NA,NA,ND,NA,145,NA,6,NA,NA,NA,NA,NA,NA,88,56,NA,NA
NA,NA,NA,NA,Total,NA,52333,NA,6,NA,NA,NA,NA,NA,NA,28244,24088,NA,NA
,NA,NA,NA,Ø§Ù„Ø°Ø¢ÙˆØ±,NA,Ø§Ù„Ø¥Ù†Ø§Ø«,Ø§Ù„Ù…Ø¬Ù…ÙˆØ¹,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Groupe,NA,NA,NA,,NA,,,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,NA,NA,NA,Masculin,NA,FÃ©minin,Total,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dâ€™Ã¢ge,NA,NA,NA,,NA,,,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0-4 Ans,NA,NA,NA,41044,NA,38798,79843,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5-9 ans,NA,NA,NA,31081,NA,29771,60852,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10-14 ans,NA,NA,NA,35308,NA,32875,68183,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15-19 ans,NA,NA,NA,41870,NA,39564,81434,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20-24 ans,NA,NA,NA,45756,NA,44157,89913,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25-29 ans,NA,NA,NA,44117,NA,41437,85555,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30-34 ans,NA,NA,NA,35806,NA,33284,69090,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35-39 ans,NA,NA,NA,30571,NA,29186,59757,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40-44 ans,NA,NA,NA,24849,NA,23726,48575,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45-49 ans,NA,NA,NA,19561,NA,18069,37630,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50-54ans,NA,NA,NA,17036,NA,15756,32792,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55-59 ans,NA,NA,NA,13811,NA,12308,26120,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60-64 ans,NA,NA,NA,9604,NA,9156,18759,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65-69 ans,NA,NA,NA,7942,NA,7548,15490,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70-74 ans,NA,NA,NA,5482,NA,5881,11364,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75-79 ans,NA,NA,NA,3845,NA,4342,8187,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80-84 ans,NA,NA,NA,2137,NA,2265,4403,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85 ans &  +,NA,NA,NA,1344,NA,1677,3021,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ND,NA,NA,NA,485,NA,632,1116,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Total,NA,NA,NA,411650,NA,390433,802083,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,NA,NA,NA,Ø§Ù„Ø°Ø¢ÙˆØ±,NA,Ø§Ù„Ø¥Ù†Ø§Ø«,Ø§Ù„Ù…Ø¬Ù…ÙˆØ¹,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Groupe,NA,NA,NA,,NA,,,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,NA,NA,NA,Masculin,NA,FÃ©minin,Total,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dâ€™Ã¢ge,NA,NA,NA,,NA,,,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0-4 Ans,NA,NA,NA,13505,NA,12852,26358,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5-9 ans,NA,NA,NA,12108,NA,11390,23498,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10-14 ans,NA,NA,NA,12291,NA,12060,24352,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15-19 ans,NA,NA,NA,12134,NA,11659,23793,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20-24 ans,NA,NA,NA,11739,NA,11907,23646,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25-29 ans,NA,NA,NA,10800,NA,11087,21887,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30-34 ans,NA,NA,NA,8947,NA,9376,18323,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35-39 ans,NA,NA,NA,7706,NA,7778,15485,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40-44 ans,NA,NA,NA,6350,NA,6257,12607,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45-49 ans,NA,NA,NA,4637,NA,4388,9024,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50-54ans,NA,NA,NA,3966,NA,3796,7762,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55-59 ans,NA,NA,NA,3013,NA,2902,5915,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60-64 ans,NA,NA,NA,1937,NA,1867,3804,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65-69 ans,NA,NA,NA,2012,NA,1868,3881,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70-74 ans,NA,NA,NA,1564,NA,1408,2973,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75-79 ans,NA,NA,NA,1216,NA,1087,2304,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80-84 ans,NA,NA,NA,718,NA,635,1353,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85 ans &  +,NA,NA,NA,665,NA,713,1378,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ND,NA,NA,NA,140,NA,142,282,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Total,NA,NA,NA,115449,NA,113175,228624,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,NA,NA,NA,Ø§Ù„Ø°Ø¢ÙˆØ±,NA,Ø§Ù„Ø¥Ù†Ø§Ø«,Ø§Ù„Ù…Ø¬Ù…ÙˆØ¹,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Groupe,NA,NA,NA,,NA,,,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,NA,NA,NA,Masculin,NA,FÃ©minin,Total,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dâ€™Ã¢ge,NA,NA,NA,,NA,,,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0-4 Ans,NA,NA,NA,33075,NA,31376,64451,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5-9 ans,NA,NA,NA,27432,NA,26026,53458,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10-14 ans,NA,NA,NA,32298,NA,31221,63519,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15-19 ans,NA,NA,NA,37830,NA,36502,74332,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20-24 ans,NA,NA,NA,38242,NA,36583,74825,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25-29 ans,NA,NA,NA,33554,NA,31411,64965,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30-34 ans,NA,NA,NA,24978,NA,23988,48966,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35-39 ans,NA,NA,NA,19587,NA,19568,39155,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40-44 ans,NA,NA,NA,16386,NA,15974,32360,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45-49 ans,NA,NA,NA,14855,NA,13910,28765,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50-54ans,NA,NA,NA,11517,NA,11043,22560,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55-59 ans,NA,NA,NA,9441,NA,8756,18197,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60-64 ans,NA,NA,NA,5484,NA,5515,10999,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65-69 ans,NA,NA,NA,5115,NA,5117,10232,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70-74 ans,NA,NA,NA,4516,NA,4545,9061,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75-79 ans,NA,NA,NA,3375,NA,3275,6650,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80-84 ans,NA,NA,NA,1833,NA,1615,3448,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85 ans &  +,NA,NA,NA,1140,NA,1046,2186,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ND,NA,NA,NA,128,NA,218,346,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Total,NA,NA,NA,320786,NA,307689,628475,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,NA,NA,NA,Ø§Ù„Ø°Ø¢ÙˆØ±,NA,Ø§Ù„Ø¥Ù†Ø§Ø«,Ø§Ù„Ù…Ø¬Ù…ÙˆØ¹,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Groupe,NA,NA,NA,,NA,,,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,NA,NA,NA,Masculin,NA,FÃ©minin,Total,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dâ€™Ã¢ge,NA,NA,NA,,NA,,,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0-4 Ans,NA,NA,NA,18486,NA,17353,35838,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5-9 ans,NA,NA,NA,15752,NA,15059,30811,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0-14 ans,NA,NA,NA,18182,NA,17617,35798,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5-19 ans,NA,NA,NA,20252,NA,19785,40037,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0-24 ans,NA,NA,NA,21056,NA,21539,42595,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5-29 ans,NA,NA,NA,21450,NA,22224,43674,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0-34 ans,NA,NA,NA,17615,NA,18980,36595,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5-39 ans,NA,NA,NA,15068,NA,15596,30664,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0-44 ans,NA,NA,NA,13153,NA,13696,26849,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5-49 ans,NA,NA,NA,10745,NA,11128,21873,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50-54ans,NA,NA,NA,8966,NA,8908,17873,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5-59 ans,NA,NA,NA,6871,NA,6563,13434,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0-64 ans,NA,NA,NA,4884,NA,4927,9811,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5-69 ans,NA,NA,NA,3883,NA,3828,7712,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0-74 ans,NA,NA,NA,3207,NA,3128,6335,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5-79 ans,NA,NA,NA,2288,NA,2153,4440,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0-84 ans,NA,NA,NA,1313,NA,1179,2493,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ans &  +,NA,NA,NA,725,NA,762,1487,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ND,NA,NA,NA,37,NA,55,93,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Total,NA,NA,NA,203933,NA,204480,408414,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,NA,NA,NA,Ø§Ù„Ø°Ø¢ÙˆØ±,NA,Ø§Ù„Ø¥Ù†Ø§Ø«,Ø§Ù„Ù…Ø¬Ù…ÙˆØ¹,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Groupe,NA,NA,NA,,NA,,,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,NA,NA,NA,Masculin,NA,FÃ©minin,Total,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dâ€™Ã¢ge,NA,NA,NA,,NA,,,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0-4 Ans,NA,NA,NA,3116,NA,3049,6166,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5-9 ans,NA,NA,NA,2484,NA,2611,5094,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10-14 ans,NA,NA,NA,2561,NA,2524,5086,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15-19 ans,NA,NA,NA,2618,NA,2489,5108,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20-24 ans,NA,NA,NA,2453,NA,2608,5061,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25-29 ans,NA,NA,NA,2413,NA,2547,4960,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30-34 ans,NA,NA,NA,1964,NA,1960,3923,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35-39 ans,NA,NA,NA,1737,NA,1575,3312,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40-44 ans,NA,NA,NA,1584,NA,1321,2905,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45-49 ans,NA,NA,NA,1150,NA,1069,2219,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50-54ans,NA,NA,NA,792,NA,740,1533,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55-59 ans,NA,NA,NA,672,NA,638,1310,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60-64 ans,NA,NA,NA,461,NA,346,807,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65-69 ans,NA,NA,NA,364,NA,304,668,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70-74 ans,NA,NA,NA,233,NA,144,377,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75-79 ans,NA,NA,NA,174,NA,121,295,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80-84 ans,NA,NA,NA,102,NA,57,159,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85 ans &  +,NA,NA,NA,75,NA,49,124,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
