District,Age,Men,Women,Total,Check,Diff
Setif,50-54ans,28990,27951,56941,56941,0
Setif,55-59 ans,22833,21353,44185,44186,1
Setif,60-64 ans,13393,13577,26969,26970,1
Setif,65-69 ans,11912,12304,24215,24216,1
Setif,70-74 ans,10281,10475,20756,20756,0
Setif,75-79 ans,7611,7193,14804,14804,0
Setif,80-84 ans,3840,3617,7457,7457,0
Setif,85 ans &  +,2479,2610,5090,5089,-1
Skikda,0-4 Ans,40957,39308,80264,80265,1
Skikda,5-9 ans,36691,35292,71983,71983,0
Skikda,10-14 ans,43092,41505,84597,84597,0
Skikda,15-19 ans,49635,48385,98021,98020,-1
Skikda,20-24 ans,49364,50170,99534,99534,0
Skikda,25-29 ans,46024,45518,91542,91542,0
Skikda,30-34 ans,37049,37700,74750,74749,-1
Skikda,35-39 ans,31698,32608,64306,64306,0
Skikda,40-44 ans,27189,26975,54164,54164,0
Skikda,45-49 ans,19582,19519,39101,39101,0
Skikda,50-54ans,18574,17774,36348,36348,0
Skikda,55-59 ans,15576,14380,29956,29956,0
Skikda,60-64 ans,11319,10740,22060,22059,-1
Skikda,65-69 ans,8849,9130,17979,17979,0
Skikda,70-74 ans,6837,7122,13959,13959,0
Skikda,75-79 ans,5306,5381,10688,10687,-1
Skikda,80-84 ans,2773,2694,5467,5467,0
Skikda,85 ans &  +,1687,1817,3504,3504,0
Annaba,0-4 Ans,26500,24835,51335,51335,0
Annaba,5-9 ans,22100,20826,42926,42926,0
Annaba,10-14 ans,25255,24380,49635,49635,0
Annaba,15-19 ans,28703,27917,56621,56620,-1
Annaba,20-24 ans,29916,30115,60031,60031,0
Annaba,25-29 ans,30367,30955,61323,61322,-1
Annaba,30-34 ans,27187,27273,54459,54460,1
Annaba,35-39 ans,23084,24066,47150,47150,0
Annaba,40-44 ans,20637,21526,42163,42163,0
Annaba,45-49 ans,17323,17843,35166,35166,0
Annaba,50-54ans,14860,15154,30014,30014,0
Annaba,55-59 ans,12835,12068,24903,24903,0
Annaba,60-64 ans,8167,8309,16476,16476,0
Annaba,65-69 ans,6366,6851,13216,13217,1
Annaba,70-74 ans,5126,5256,10383,10382,-1
Annaba,75-79 ans,3579,3670,7250,7249,-1
Annaba,80-84 ans,1876,1933,3809,3809,0
Annaba,85 ans &  +,1008,1315,2323,2323,0
Saida,0-4 Ans,16838,16358,33196,33196,0
Saida,5-9 ans,13761,13414,27175,27175,0
Saida,10-14 ans,15268,14877,30145,30145,0
Saida,15-19 ans,16811,16164,32974,32975,1
Saida,20-24 ans,18348,18424,36772,36772,0
Saida,25-29 ans,17679,17452,35131,35131,0
Saida,30-34 ans,14957,14661,29618,29618,0
Saida,35-39 ans,11980,11794,23774,23774,0
Saida,40-44 ans,9678,9855,19532,19533,1
Saida,45-49 ans,7275,7569,14845,14844,-1
Saida,50-54ans,6291,6391,12682,12682,0
Saida,55-59 ans,5159,4957,10116,10116,0
Saida,60-64 ans,3419,3331,6750,6750,0
Saida,65-69 ans,3470,3089,6559,6559,0
Saida,70-74 ans,2431,2220,4651,4651,0
Saida,75-79 ans,1676,1640,3317,3316,-1
Saida,80-84 ans,875,935,1810,1810,0
Saida,85 ans &  +,779,781,1560,1560,0
Sidi Bel Abbes,0-4 Ans,29541,28218,57759,57759,0
Sidi Bel Abbes,5-9 ans,23723,22960,46682,46683,1
Sidi Bel Abbes,10-14 ans,26410,25495,51904,51905,1
Sidi Bel Abbes,15-19 ans,27918,26956,54874,54874,0
Sidi Bel Abbes,20-24 ans,31312,30839,62151,62151,0
Sidi Bel Abbes,25-29 ans,31408,30705,62113,62113,0
Sidi Bel Abbes,30-34 ans,26909,26176,53085,53085,0
Sidi Bel Abbes,35-39 ans,22806,22811,45617,45617,0
Sidi Bel Abbes,40-44 ans,19944,20142,40086,40086,0
Sidi Bel Abbes,45-49 ans,15347,15533,30880,30880,0
Sidi Bel Abbes,50-54ans,13697,13078,26775,26775,0
Sidi Bel Abbes,55-59 ans,10529,10122,20651,20651,0
Sidi Bel Abbes,60-64 ans,7198,7289,14486,14487,1
Sidi Bel Abbes,65-69 ans,6636,6823,13459,13459,0
Sidi Bel Abbes,70-74 ans,5143,5299,10441,10442,1
Sidi Bel Abbes,75-79 ans,3464,3569,7033,7033,0
Sidi Bel Abbes,80-84 ans,1769,1936,3705,3705,0
Sidi Bel Abbes,85 ans &  +,1307,1544,2852,2851,-1
Guelma,0-4 Ans,21593,20730,42323,42323,0
Guelma,5-9 ans,18678,17786,36465,36464,-1
Guelma,10-14 ans,21384,20991,42376,42375,-1
Guelma,15-19 ans,24878,23909,48787,48787,0
Guelma,20-24 ans,26019,25954,51973,51973,0
Guelma,25-29 ans,24822,24545,49367,49367,0
Guelma,30-34 ans,19635,20155,39791,39790,-1
Guelma,35-39 ans,16550,17208,33758,33758,0
Guelma,40-44 ans,15092,15269,30361,30361,0
Guelma,45-49 ans,13300,13821,27121,27121,0
Guelma,50-54ans,11254,10964,22218,22218,0
Guelma,55-59 ans,9109,8285,17395,17394,-1
Guelma,60-64 ans,5887,5409,11296,11296,0
Guelma,65-69 ans,4959,5115,10074,10074,0
Guelma,70-74 ans,3794,4073,7866,7867,1
Guelma,75-79 ans,2894,2906,5800,5800,0
Guelma,80-84 ans,1617,1710,3327,3327,0
Guelma,85 ans &  +,909,1117,2026,2026,0
Constantine,0-4 Ans,43862,41930,85791,85792,1
Constantine,5-9 ans,36055,34848,70903,70903,0
Constantine,10-14 ans,42780,41143,83923,83923,0
Constantine,15-19 ans,49507,48115,97622,97622,0
Constantine,20-24 ans,50811,49706,100517,100517,0
Constantine,25-29 ans,44551,43905,88455,88456,1
Constantine,30-34 ans,37003,37162,74165,74165,0
Constantine,35-39 ans,32518,34339,66858,66857,-1
Constantine,40-44 ans,30502,31358,61860,61860,0
Constantine,45-49 ans,26015,25578,51593,51593,0
Constantine,50-54ans,22130,21395,43525,43525,0
Constantine,55-59 ans,16714,16013,32727,32727,0
Constantine,60-64 ans,10891,11950,22841,22841,0
Constantine,65-69 ans,9217,10411,19629,19628,-1
Constantine,70-74 ans,7524,8611,16135,16135,0
Constantine,75-79 ans,5542,6086,11628,11628,0
Constantine,80-84 ans,2833,3289,6122,6122,0
Constantine,85 ans &  +,1667,2135,3802,3802,0
Mostaganem,0-4 Ans,37060,35711,72771,72771,0
Mostaganem,5-9 ans,31537,30859,62396,62396,0
Mostaganem,10-14 ans,35559,34561,70121,70120,-1
Mostaganem,15-19 ans,39847,39317,79163,79164,1
Mostaganem,20-24 ans,43027,42960,85987,85987,0
Mostaganem,25-29 ans,38679,38429,77108,77108,0
Mostaganem,30-34 ans,29626,29870,59496,59496,0
Mostaganem,35-39 ans,24341,24769,49110,49110,0
Mostaganem,40-44 ans,20935,21023,41958,41958,0
Mostaganem,45-49 ans,18481,17942,36423,36423,0
Mostaganem,50-54ans,14903,14404,29307,29307,0
